t,dtMs,drawCalls,setPass,batches,bullets
3.361,3360.93,0,0,0,0
4.407,1046.54,0,0,0,0
4.456,48.21,30,28,30,0
4.466,9.99,30,28,30,0
4.473,7.08,30,28,30,0
4.478,5.53,30,28,30,0
4.483,4.60,30,28,30,0
4.488,4.90,30,28,30,0
4.494,5.93,30,28,30,0
4.500,6.06,30,28,30,0
4.506,5.97,30,28,30,0
4.514,8.07,30,28,30,0
4.520,5.76,30,28,30,0
4.525,5.25,30,28,30,0
4.531,6.38,30,28,30,0
4.538,6.95,30,28,30,0
4.544,6.16,30,28,30,0
4.550,5.60,30,28,30,0
4.556,5.60,30,28,30,0
4.560,4.84,30,28,30,0
4.566,6.12,30,28,30,0
4.572,5.88,30,28,30,0
4.578,5.61,30,28,30,0
4.583,5.08,30,28,30,0
4.589,5.92,30,28,30,0
4.595,5.74,30,28,30,0
4.600,5.44,30,28,30,0
4.606,5.73,30,28,30,0
4.612,6.25,30,28,30,0
4.617,5.34,30,28,30,0
4.622,4.29,30,28,30,0
4.627,5.67,30,28,30,0
4.633,5.76,30,28,30,0
4.639,6.14,30,28,30,0
4.645,5.87,30,28,30,0
4.651,6.26,30,28,30,0
4.656,4.89,30,28,30,0
4.663,6.24,30,28,30,0
4.668,5.54,30,28,30,0
4.674,5.63,30,28,30,0
4.679,5.41,30,28,30,0
4.685,5.67,30,28,30,0
4.690,4.85,30,28,30,0
4.735,45.23,30,28,30,0
4.740,5.49,30,28,30,0
4.747,6.94,30,28,30,0
4.753,5.37,30,28,30,0
4.758,5.56,30,28,30,0
4.763,5.07,30,28,30,0
4.769,5.83,30,28,30,0
4.774,4.95,30,28,30,0
4.781,6.96,30,28,30,0
4.786,5.43,30,28,30,0
4.792,5.39,30,28,30,0
4.797,5.41,30,28,30,0
4.803,5.81,30,28,30,0
4.808,4.99,30,28,30,0
4.814,6.19,30,28,30,0
4.820,5.57,30,28,30,0
4.825,5.30,30,28,30,0
4.830,5.19,30,28,30,0
4.837,6.40,30,28,30,0
4.842,5.34,30,28,30,0
4.847,4.90,30,28,30,0
4.852,5.25,30,28,30,0
4.858,5.87,30,28,30,0
4.864,5.90,30,28,30,0
4.870,5.96,30,28,30,0
4.875,5.32,30,28,30,0
4.881,5.24,30,28,30,0
4.885,4.94,30,28,30,0
4.890,4.99,30,28,30,0
4.898,7.10,30,28,30,0
4.902,4.83,30,28,30,0
4.908,5.23,30,28,30,0
4.912,4.60,30,28,30,0
4.917,4.40,30,28,30,0
4.922,5.46,30,28,30,0
4.927,5.26,30,28,30,0
4.934,6.44,30,28,30,0
4.940,6.30,30,28,30,0
4.946,5.44,30,28,30,0
4.951,5.48,30,28,30,0
4.957,5.91,30,28,30,0
4.962,5.06,30,28,30,0
4.969,7.05,30,28,30,0
4.975,5.60,30,28,30,0
4.980,5.55,30,28,30,0
4.986,6.15,30,28,30,0
4.992,6.15,30,28,30,0
5.040,47.76,30,28,30,0
5.046,5.55,30,28,30,0
5.051,4.79,30,28,30,0
5.056,5.26,30,28,30,0
5.061,4.89,30,28,30,0
5.067,6.51,30,28,30,0
5.073,5.70,30,28,30,0
5.078,4.65,30,28,30,0
5.082,4.59,30,28,30,0
5.087,4.72,30,28,30,0
5.092,5.09,30,28,30,0
5.097,5.27,30,28,30,0
5.102,4.97,30,28,30,0
5.109,6.75,30,28,30,0
5.115,6.06,30,28,30,0
5.120,4.74,30,28,30,0
5.125,5.47,30,28,30,0
5.131,5.74,30,28,30,0
5.136,4.67,30,28,30,0
5.140,4.85,30,28,30,0
5.146,5.13,30,28,30,0
5.150,4.27,30,28,30,0
5.155,5.49,30,28,30,0
5.160,4.73,30,28,30,0
5.165,4.95,30,28,30,0
5.171,6.18,30,28,30,0
5.177,6.16,30,28,30,0
5.183,5.42,30,28,30,0
5.188,5.26,30,28,30,0
5.194,5.89,30,28,30,0
5.200,5.62,30,28,30,0
5.204,4.27,30,28,30,0
5.209,5.44,30,28,30,0
5.214,4.32,30,28,30,0
5.218,4.15,30,28,30,0
5.223,5.14,30,28,30,0
5.228,5.44,30,28,30,0
5.233,4.36,30,28,30,0
5.238,4.97,30,28,30,0
5.242,3.98,30,28,30,0
5.246,3.89,30,28,30,0
5.250,4.17,30,28,30,0
5.254,4.63,30,28,30,0
5.259,4.16,30,28,30,0
5.263,4.25,30,28,30,0
5.268,4.99,30,28,30,0
5.273,4.91,30,28,30,0
5.277,4.11,30,28,30,0
5.282,5.16,30,28,30,0
5.287,4.75,30,28,30,0
5.292,5.52,30,28,30,0
5.297,5.07,30,28,30,0
5.348,50.57,30,28,30,0
5.354,6.44,30,28,30,0
5.360,5.71,30,28,30,0
5.366,5.89,30,28,30,0
5.372,6.38,30,28,30,0
5.378,5.26,30,28,30,0
5.383,5.71,30,28,30,0
5.389,6.07,30,28,30,0
5.395,5.47,30,28,30,0
5.400,5.20,30,28,30,0
5.406,6.29,30,28,30,0
5.412,5.90,30,28,30,0
5.418,5.86,30,28,30,0
5.424,5.64,30,28,30,0
5.429,5.63,30,28,30,0
5.435,5.50,30,28,30,0
5.440,5.42,30,28,30,0
5.445,4.99,30,28,30,0
5.450,4.52,30,28,30,0
5.455,5.14,30,28,30,0
5.460,5.61,30,28,30,0
5.465,4.72,30,28,30,0
5.470,5.19,30,28,30,0
5.475,4.64,30,28,30,0
5.480,4.63,30,28,30,0
5.485,5.86,30,28,30,0
5.490,4.54,30,28,30,0
5.495,4.86,30,28,30,0
5.500,5.57,30,28,30,0
5.505,5.02,30,28,30,0
5.510,4.45,30,28,30,0
5.515,5.03,30,28,30,0
5.521,5.57,30,28,30,0
5.525,4.90,30,28,30,0
5.530,4.76,30,28,30,0
5.536,5.73,30,28,30,0
5.540,4.38,30,28,30,0
5.546,5.51,30,28,30,0
5.551,5.19,30,28,30,0
5.558,6.97,30,28,30,0
5.564,6.49,30,28,30,0
5.569,4.32,30,28,30,0
5.574,4.75,30,28,30,0
5.578,4.71,30,28,30,0
5.583,4.33,30,28,30,0
5.587,4.03,30,28,30,0
5.591,4.85,30,28,30,0
5.597,5.41,30,28,30,0
5.602,5.15,30,28,30,0
5.648,45.73,30,28,30,0
5.652,4.56,30,28,30,0
5.657,4.57,30,28,30,0
5.663,5.72,30,28,30,0
5.667,4.38,30,28,30,0
5.673,6.03,30,28,30,0
5.678,4.53,30,28,30,0
5.682,4.57,30,28,30,0
5.687,4.90,30,28,30,0
5.692,4.70,30,28,30,0
5.697,5.06,30,28,30,0
5.703,5.84,30,28,30,0
5.708,5.24,30,28,30,0
5.712,4.38,30,28,30,0
5.719,7.25,30,28,30,0
5.724,4.54,30,28,30,0
5.729,5.28,30,28,30,0
5.735,5.27,30,28,30,0
5.739,4.79,30,28,30,0
5.744,4.75,30,28,30,0
5.749,5.04,30,28,30,0
5.754,4.86,30,28,30,0
5.758,4.18,30,28,30,0
5.763,4.68,30,28,30,0
5.768,5.51,30,28,30,0
5.774,6.03,30,28,30,0
5.779,4.99,30,28,30,0
5.784,4.71,30,28,30,0
5.789,4.77,30,28,30,0
5.794,4.83,30,28,30,0
5.798,4.59,30,28,30,0
5.803,4.52,30,28,30,0
5.809,5.95,30,28,30,0
5.815,5.96,30,28,30,0
5.819,4.21,30,28,30,0
5.823,4.41,30,28,30,0
5.828,4.86,30,28,30,0
5.834,5.34,30,28,30,0
5.838,4.79,30,28,30,0
5.844,5.27,30,28,30,0
5.849,5.52,30,28,30,0
5.855,5.54,30,28,30,0
5.860,5.49,30,28,30,0
5.865,4.47,30,28,30,0
5.869,4.73,30,28,30,0
5.876,6.24,30,28,30,0
5.881,5.55,30,28,30,0
5.886,4.97,30,28,30,0
5.891,5.11,30,28,30,0
5.896,4.65,30,28,30,0
5.900,4.26,30,28,30,0
5.905,5.17,30,28,30,0
5.951,45.67,30,28,30,0
5.956,5.00,30,28,30,0
5.961,4.94,30,28,30,0
5.966,4.87,30,28,30,0
5.971,5.68,30,28,30,0
5.977,5.25,30,28,30,0
5.983,5.83,30,28,30,0
5.988,5.39,30,28,30,0
5.992,4.51,30,28,30,0
5.997,4.96,30,28,30,0
6.003,5.90,30,28,30,0
6.012,8.44,30,28,30,0
6.018,6.35,30,28,30,0
6.025,6.63,30,28,30,0
6.030,5.71,30,28,30,0
6.035,4.94,30,28,30,0
6.042,6.19,30,28,30,0
6.047,5.31,30,28,30,0
6.053,6.23,30,28,30,0
6.060,7.34,30,28,30,0
6.066,5.65,30,28,30,0
6.072,6.20,30,28,30,0
6.081,8.43,30,28,30,0
6.086,5.43,30,28,30,0
6.092,5.85,30,28,30,0
6.097,5.43,30,28,30,0
6.103,5.16,30,28,30,0
6.108,5.80,30,28,30,0
6.114,5.36,30,28,30,0
6.119,4.88,30,28,30,0
6.125,5.92,30,28,30,0
6.129,4.89,30,28,30,0
6.135,5.13,30,28,30,0
6.139,4.91,30,28,30,0
6.144,5.00,30,28,30,0
6.151,6.14,30,28,30,0
6.156,5.14,30,28,30,0
6.160,4.34,30,28,30,0
6.166,5.45,30,28,30,0
6.170,4.19,30,28,30,0
6.175,5.55,30,28,30,0
6.181,5.97,30,28,30,0
6.186,4.33,30,28,30,0
6.192,6.07,30,28,30,0
6.198,5.86,30,28,30,0
6.203,5.64,30,28,30,0
6.208,5.08,30,28,30,0
6.254,45.60,30,28,30,0
6.259,5.34,30,28,30,0
6.265,5.45,30,28,30,0
6.269,4.31,30,28,30,0
6.275,5.93,30,28,30,0
6.280,4.74,30,28,30,0
6.284,4.82,30,28,30,0
6.291,6.28,30,28,30,0
6.295,4.22,30,28,30,0
6.299,4.35,30,28,30,0
6.304,4.89,30,28,30,0
6.310,6.18,30,28,30,0
6.316,5.46,30,28,30,0
6.321,5.43,30,28,30,0
6.327,5.93,30,28,30,0
6.333,6.26,30,28,30,0
6.340,6.34,30,28,30,0
6.345,5.26,30,28,30,0
6.351,5.99,30,28,30,0
6.359,7.92,30,28,30,0
6.367,7.60,30,28,30,0
6.372,5.98,30,28,30,0
6.378,5.25,30,28,30,0
6.384,6.15,30,28,30,0
6.389,5.51,30,28,30,0
6.394,4.83,30,28,30,0
6.400,6.13,30,28,30,0
6.406,5.29,30,28,30,0
6.411,5.74,30,28,30,0
6.417,6.09,30,28,30,0
6.423,5.42,30,28,30,0
6.428,4.88,30,28,30,0
6.434,6.30,30,28,30,0
6.440,5.45,30,28,30,0
6.446,6.02,30,28,30,0
6.453,7.28,30,28,30,0
6.459,5.76,30,28,30,0
6.464,5.43,30,28,30,0
6.469,5.33,30,28,30,0
6.475,6.07,30,28,30,0
6.481,6.06,30,28,30,0
6.486,4.79,30,28,30,0
6.492,5.36,30,28,30,0
6.497,5.61,30,28,30,0
6.502,4.72,30,28,30,0
6.507,5.15,30,28,30,0
6.513,5.47,30,28,30,0
6.557,44.10,30,28,30,0
6.561,4.49,30,28,30,0
6.565,4.17,30,28,30,0
6.569,4.18,30,28,30,0
6.575,5.81,30,28,30,0
6.580,4.22,30,28,30,0
6.584,4.54,30,28,30,0
6.589,5.17,30,28,30,0
6.594,4.59,30,28,30,0
6.599,5.26,30,28,30,0
6.604,4.69,30,28,30,0
6.609,5.42,30,28,30,0
6.614,4.68,30,28,30,0
6.619,5.59,30,28,30,0
6.624,4.20,30,28,30,0
6.628,3.87,30,28,30,0
