t,dtMs,drawCalls,setPass,batches,bullets
3.377,3377.26,0,0,0,0
4.381,1004.14,0,0,0,0
4.418,36.90,30,28,30,0
4.426,8.01,30,28,30,0
4.433,6.37,30,28,30,0
4.437,4.66,30,28,30,0
4.444,6.43,30,28,30,0
4.449,4.82,30,28,30,0
4.453,4.43,30,28,30,0
4.457,3.96,30,28,30,0
4.462,4.77,30,28,30,0
4.467,5.40,30,28,30,0
4.471,4.00,30,28,30,0
4.477,5.37,30,28,30,0
4.481,4.89,30,28,30,0
4.487,5.23,30,28,30,0
4.491,4.69,30,28,30,0
4.497,5.69,30,28,30,0
4.503,5.62,30,28,30,0
4.510,7.51,30,28,30,0
4.516,5.42,30,28,30,0
4.520,4.52,30,28,30,0
4.525,4.57,30,28,30,0
4.530,5.51,30,28,30,0
4.535,4.86,30,28,30,0
4.540,5.00,30,28,30,0
4.545,5.12,30,28,30,0
4.550,4.76,30,28,30,0
4.555,5.06,30,28,30,0
4.560,4.78,30,28,30,0
4.564,4.61,30,28,30,0
4.571,6.47,30,28,30,0
4.575,4.52,30,28,30,0
4.580,4.49,30,28,30,0
4.585,5.51,30,28,30,0
4.593,7.28,30,28,30,0
4.597,4.70,30,28,30,0
4.603,5.76,30,28,30,0
4.610,7.05,30,28,30,0
4.618,7.66,30,28,30,0
4.623,5.58,30,28,30,0
4.629,5.68,30,28,30,0
4.636,6.49,30,28,30,0
4.641,5.10,30,28,30,0
4.646,5.28,30,28,30,0
4.652,6.38,30,28,30,0
4.657,4.79,30,28,30,0
4.663,5.44,30,28,30,0
4.708,45.42,30,28,30,0
4.714,6.21,30,28,30,0
4.719,4.33,30,28,30,0
4.723,4.63,30,28,30,0
4.729,5.47,30,28,30,0
4.733,4.56,30,28,30,0
4.738,4.46,30,28,30,0
4.744,6.36,30,28,30,0
4.748,4.35,30,28,30,0
4.752,4.14,30,28,30,0
4.758,5.12,30,28,30,0
4.762,4.53,30,28,30,0
4.766,4.33,30,28,30,0
4.772,5.33,30,28,30,0
4.777,5.55,30,28,30,0
4.781,4.14,30,28,30,0
4.787,5.41,30,28,30,0
4.792,4.82,30,28,30,0
4.796,4.49,30,28,30,0
4.801,5.25,30,28,30,0
4.807,5.63,30,28,30,0
4.812,4.83,30,28,30,0
4.817,5.31,30,28,30,0
4.822,4.29,30,28,30,0
4.826,4.36,30,28,30,0
4.831,4.83,30,28,30,0
4.836,5.32,30,28,30,0
4.841,5.05,30,28,30,0
4.847,5.87,30,28,30,0
4.853,5.70,30,28,30,0
4.857,4.27,30,28,30,0
4.861,4.06,30,28,30,0
4.866,4.97,30,28,30,0
4.873,7.00,30,28,30,0
4.878,5.14,30,28,30,0
4.884,5.72,30,28,30,0
4.888,4.32,30,28,30,0
4.893,4.71,30,28,30,0
4.898,5.06,30,28,30,0
4.902,4.15,30,28,30,0
4.907,5.39,30,28,30,0
4.912,5.04,30,28,30,0
4.917,4.72,30,28,30,0
4.921,4.30,30,28,30,0
4.927,5.41,30,28,30,0
4.931,4.43,30,28,30,0
4.936,4.41,30,28,30,0
4.941,5.61,30,28,30,0
4.946,4.88,30,28,30,0
4.951,4.30,30,28,30,0
4.955,4.57,30,28,30,0
4.960,4.93,30,28,30,0
4.966,5.59,30,28,30,0
5.019,53.55,30,28,30,0
5.027,7.46,30,28,30,0
5.032,5.81,30,28,30,0
5.038,5.38,30,28,30,0
5.042,4.56,30,28,30,0
5.047,4.62,30,28,30,0
5.052,5.19,30,28,30,0
5.056,4.27,30,28,30,0
5.061,4.38,30,28,30,0
5.066,4.85,30,28,30,0
5.072,6.00,30,28,30,0
5.076,4.74,30,28,30,0
5.081,5.05,30,28,30,0
5.088,6.29,30,28,30,0
5.094,6.02,30,28,30,0
5.101,6.89,30,28,30,0
5.107,6.25,30,28,30,0
5.113,6.32,30,28,30,0
5.118,5.23,30,28,30,0
5.123,4.18,30,28,30,0
5.127,4.67,30,28,30,0
5.132,4.31,30,28,30,0
5.137,5.22,30,28,30,0
5.142,5.16,30,28,30,0
5.147,4.72,30,28,30,0
5.152,5.15,30,28,30,0
5.156,4.38,30,28,30,0
5.161,4.33,30,28,30,0
5.165,4.60,30,28,30,0
5.170,5.25,30,28,30,0
5.176,5.09,30,28,30,0
5.181,5.37,30,28,30,0
5.185,4.55,30,28,30,0
5.191,5.08,30,28,30,0
5.195,4.49,30,28,30,0
5.200,5.30,30,28,30,0
5.206,5.23,30,28,30,0
5.210,4.48,30,28,30,0
5.215,4.83,30,28,30,0
5.220,5.04,30,28,30,0
5.224,4.48,30,28,30,0
5.229,4.28,30,28,30,0
5.233,4.35,30,28,30,0
5.238,4.77,30,28,30,0
5.244,5.72,30,28,30,0
5.248,4.65,30,28,30,0
5.255,6.40,30,28,30,0
5.261,6.67,30,28,30,0
5.268,6.31,30,28,30,0
5.312,44.89,30,28,30,0
5.318,5.42,30,28,30,0
5.324,5.90,30,28,30,0
5.329,5.65,30,28,30,0
5.335,5.27,30,28,30,0
5.339,4.71,30,28,30,0
5.345,6.05,30,28,30,0
5.350,4.65,30,28,30,0
5.354,4.41,30,28,30,0
5.360,5.62,30,28,30,0
5.367,6.55,30,28,30,0
5.375,7.98,30,28,30,0
5.381,6.05,30,28,30,0
5.386,5.49,30,28,30,0
5.391,5.32,30,28,30,0
5.396,4.88,30,28,30,0
5.402,5.26,30,28,30,0
5.407,5.04,30,28,30,0
5.412,5.18,30,28,30,0
5.417,5.55,30,28,30,0
5.423,5.38,30,28,30,0
5.428,5.15,30,28,30,0
5.433,4.75,30,28,30,0
5.438,5.15,30,28,30,0
5.443,4.87,30,28,30,0
5.448,5.36,30,28,30,0
5.453,5.36,30,28,30,0
5.459,5.37,30,28,30,0
5.463,4.35,30,28,30,0
5.469,5.58,30,28,30,0
5.474,5.47,30,28,30,0
5.480,6.18,30,28,30,0
5.486,5.35,30,28,30,0
5.490,4.67,30,28,30,0
5.495,4.99,30,28,30,0
5.501,5.48,30,28,30,0
5.506,4.83,30,28,30,0
5.512,6.75,30,28,30,0
5.518,5.53,30,28,30,0
5.523,5.27,30,28,30,0
5.533,9.37,30,28,30,0
5.543,10.11,30,28,30,0
5.551,8.16,30,28,30,0
5.555,4.54,30,28,30,0
5.560,4.94,30,28,30,0
5.565,4.56,30,28,30,0
5.570,4.69,30,28,30,0
5.614,44.80,30,28,30,0
5.619,5.08,30,28,30,0
5.624,4.88,30,28,30,0
5.629,4.44,30,28,30,0
5.633,4.47,30,28,30,0
5.638,5.00,30,28,30,0
5.644,5.25,30,28,30,0
5.649,5.11,30,28,30,0
5.654,4.91,30,28,30,0
5.658,4.45,30,28,30,0
5.662,4.17,30,28,30,0
5.667,5.02,30,28,30,0
5.671,4.13,30,28,30,0
5.676,4.76,30,28,30,0
5.682,5.47,30,28,30,0
5.686,4.53,30,28,30,0
5.690,4.39,30,28,30,0
5.696,5.33,30,28,30,0
5.702,5.89,30,28,30,0
5.707,4.91,30,28,30,0
5.712,5.83,30,28,30,0
5.718,5.51,30,28,30,0
5.723,4.62,30,28,30,0
5.727,4.74,30,28,30,0
5.732,4.93,30,28,30,0
5.737,4.41,30,28,30,0
5.742,5.01,30,28,30,0
5.747,5.51,30,28,30,0
5.752,5.16,30,28,30,0
5.757,4.48,30,28,30,0
5.762,4.71,30,28,30,0
5.767,5.35,30,28,30,0
5.773,6.36,30,28,30,0
5.780,6.33,30,28,30,0
5.784,4.51,30,28,30,0
5.789,5.34,30,28,30,0
5.795,5.60,30,28,30,0
5.799,4.48,30,28,30,0
5.804,4.57,30,28,30,0
5.809,5.44,30,28,30,0
5.814,4.98,30,28,30,0
5.820,5.42,30,28,30,0
5.825,5.14,30,28,30,0
5.830,5.19,30,28,30,0
5.836,6.01,30,28,30,0
5.842,6.09,30,28,30,0
5.848,5.56,30,28,30,0
5.853,4.71,30,28,30,0
5.858,5.02,30,28,30,0
5.862,4.73,30,28,30,0
5.867,4.77,30,28,30,0
5.872,4.60,30,28,30,0
5.915,42.93,30,28,30,0
5.920,5.56,30,28,30,0
5.925,4.47,30,28,30,0
5.929,4.26,30,28,30,0
5.933,4.56,30,28,30,0
5.938,4.61,30,28,30,0
5.942,4.37,30,28,30,0
5.947,4.88,30,28,30,0
5.954,6.38,30,28,30,0
5.958,4.71,30,28,30,0
5.964,5.49,30,28,30,0
5.969,5.36,30,28,30,0
5.974,5.21,30,28,30,0
5.980,5.17,30,28,30,0
5.986,6.80,30,28,30,0
5.992,5.46,30,28,30,0
5.997,5.37,30,28,30,0
6.003,5.57,30,28,30,0
6.007,4.61,30,28,30,0
6.012,4.79,30,28,30,0
6.019,6.57,30,28,30,0
6.025,5.89,30,28,30,0
6.030,5.52,30,28,30,0
6.035,4.95,30,28,30,0
6.041,5.31,30,28,30,0
6.045,4.83,30,28,30,0
6.051,5.81,30,28,30,0
6.056,5.00,30,28,30,0
6.061,4.74,30,28,30,0
6.065,4.32,30,28,30,0
6.070,4.69,30,28,30,0
6.075,5.19,30,28,30,0
6.080,4.51,30,28,30,0
6.087,7.42,30,28,30,0
6.092,4.69,30,28,30,0
6.096,4.43,30,28,30,0
6.102,5.51,30,28,30,0
6.110,7.95,30,28,30,0
6.115,4.92,30,28,30,0
6.120,5.71,30,28,30,0
6.127,6.52,30,28,30,0
6.132,4.84,30,28,30,0
6.136,4.81,30,28,30,0
6.142,5.72,30,28,30,0
6.147,4.47,30,28,30,0
6.153,6.38,30,28,30,0
6.158,5.41,30,28,30,0
6.163,4.89,30,28,30,0
6.168,4.92,30,28,30,0
6.174,5.73,30,28,30,0
6.221,47.38,30,28,30,0
6.227,5.91,30,28,30,0
6.233,5.96,30,28,30,0
6.238,4.72,30,28,30,0
6.243,5.03,30,28,30,0
6.247,4.49,30,28,30,0
6.253,5.84,30,28,30,0
6.259,6.21,30,28,30,0
6.264,4.99,30,28,30,0
6.269,4.52,30,28,30,0
6.275,5.92,30,28,30,0
6.279,4.38,30,28,30,0
6.284,4.50,30,28,30,0
6.289,5.02,30,28,30,0
6.294,4.90,30,28,30,0
6.299,5.62,30,28,30,0
6.304,5.18,30,28,30,0
6.310,5.94,30,28,30,0
6.316,5.18,30,28,30,0
6.321,5.25,30,28,30,0
6.326,5.04,30,28,30,0
6.331,5.33,30,28,30,0
